year,month,avg_temp
1946,5,23.8
1946,6,26.5
1946,7,27.6
1946,8,27.6
1946,9,27.7
1946,10,23.9
1946,11,21.1
1946,12,16.8
1947,1,16.5
1947,2,13.2
1947,3,16.1
1947,4,18.6
1947,5,21.9
1947,6,24.8
1947,7,27.4
1947,8,27.7
1947,9,27.1
1947,10,22.9
1947,11,20.3
1947,12,16.6
1948,1,14.6
1948,2,16.4
1948,3,17.8
1948,4,20.1
1948,5,23.1
1948,6,25.3
1948,7,28.3
1948,8,27.9
1948,9,27.7
1948,10,23.4
1948,11,20.7
1948,12,19.7
1949,1,14.9
1949,2,16.2
1949,3,17.9
1949,4,19.2
1949,5,23.9
1949,6,24.9
1949,7,27.8
1949,8,26.9
1949,9,26.9
1949,10,24.3
1949,11,21.2
1949,12,18.6
1950,1,17.1
1950,2,16.7
1950,3,17.9
1950,4,20.3
1950,5,23.2
1950,6,25.1
1950,7,27.8
1950,8,27.8
1950,9,26.9
1950,10,24.6
1950,11,20.9
1950,12,16.3
1951,1,
1951,2,
1951,3,
1951,4,20.7
1951,5,22.8
1951,6,25.4
1951,7,27.5
1951,8,27.7
1951,9,27.3
1951,10,24.4
1951,11,20.6
1951,12,18.7
1952,1,16.5
1952,2,17.5
1952,3,19.2
1952,4,21.1
1952,5,25.1
1952,6,26.8
1952,7,28.1
1952,8,28.1
1952,9,27.4
1952,10,24.5
1952,11,23.1
1952,12,18.2
1953,1,15.8
1953,2,17.0
1953,3,18.6
1953,4,18.9
1953,5,22.1
1953,6,27.4
1953,7,28.5
1953,8,27.9
1953,9,26.8
1953,10,24.3
1953,11,21.7
1953,12,19.2
1954,1,18.0
1954,2,16.6
1954,3,17.4
1954,4,21.4
1954,5,24.9
1954,6,26.4
1954,7,28.2
1954,8,27.7
1954,9,26.9
1954,10,23.8
1954,11,21.7
1954,12,17.8
1955,1,15.1
1955,2,17.1
1955,3,20.2
1955,4,21.7
1955,5,23.2
1955,6,26.4
1955,7,27.4
