year,month,avg_temp
1944,12,-6.1
1945,1,-8.8
1945,2,-6.5
1945,3,-1.3
1945,4,5.8
1945,5,9.0
1945,6,13.9
1945,7,16.7
1945,8,22.1
1945,9,16.1
1945,10,10.8
1945,11,4.2
1945,12,-4.1
1946,1,-5.3
1946,2,-5.2
1946,3,-2.8
1946,4,6.1
1946,5,10.1
1946,6,18.1
1946,7,21.4
1946,8,24.2
1946,9,17.2
1946,10,11.7
1946,11,5.2
1946,12,-2.8
1947,1,-4.4
1947,2,-5.2
1947,3,-1.4
1947,4,5.9
1947,5,11.3
1947,6,14.5
1947,7,20.4
1947,8,21.1
1947,9,15.9
1947,10,9.6
1947,11,2.4
1947,12,-4.4
1948,1,-2.4
1948,2,-4.1
1948,3,-0.4
1948,4,8.0
1948,5,13.5
1948,6,16.4
1948,7,21.8
1948,8,23.7
1948,9,17.1
1948,10,10.5
1948,11,3.5
1948,12,-0.2
1949,1,-1.9
1949,2,-1.4
1949,3,-2.1
1949,4,4.2
1949,5,13.1
1949,6,15.2
1949,7,20.4
1949,8,23.5
1949,9,17.7
1949,10,10.7
1949,11,2.8
1949,12,-3.6
1950,1,-4.8
1950,2,-3.1
1950,3,-0.4
1950,4,6.8
1950,5,12.5
1950,6,16.4
1950,7,22.8
1950,8,24.0
1950,9,17.1
1950,10,8.3
1950,11,3.7
1950,12,-2.9
1951,1,-6.3
1951,2,-5.0
1951,3,-1.2
1951,4,5.8
1951,5,12.2
1951,6,15.9
1951,7,19.7
1951,8,24.0
1951,9,15.6
1951,10,9.7
1951,11,4.0
1951,12,-0.5
1952,1,-4.8
1952,2,-6.9
1952,3,-1.4
1952,4,6.1
1952,5,11.4
1952,6,16.4
1952,7,20.4
1952,8,21.3
1952,9,16.4
1952,10,10.5
1952,11,1.5
1952,12,-6.0
1953,1,-6.6
1953,2,-6.1
1953,3,0.1
1953,4,5.5
1953,5,11.3
1953,6,15.5
1953,7,20.1
1953,8,20.2
1953,9,16.8
1953,10,10.3
1953,11,0.3
1953,12,-1.8
1954,1,-5.4
1954,2,-3.1
1954,3,-1.3
1954,4,6.8
1954,5,10.6
1954,6,13.8
1954,7,17.7
1954,8,20.6
1954,9,18.0
1954,10,9.4
1954,11,3.7
1954,12,-0.7
1955,1,-5.8
1955,2,-3.7
1955,3,-0.8
1955,4,6.0
1955,5,10.2
1955,6,16.3
1955,7,23.7
1955,8,22.3
1955,9,16.2
1955,10,10.8
1955,11,3.8
1955,12,-0.1
1956,1,-5.2
1956,2,-4.6
1956,3,0.0
1956,4,6.3
1956,5,14.0
1956,6,14.9
1956,7,18.2
1956,8,19.1
1956,9,17.5
1956,10,11.9
1956,11,3.5
1956,12,-3.8
1957,1,-4.2
1957,2,-5.1
1957,3,-1.9
1957,4,6.5
1957,5,12.1
1957,6,14.1
1957,7,19.7
1957,8,21.6
1957,9,15.7
1957,10,10.8
1957,11,5.3
1957,12,-0.1
1958,1,-3.8
1958,2,-2.4
1958,3,-0.5
1958,4,5.8
1958,5,11.4
1958,6,15.9
1958,7,20.1
1958,8,20.8
1958,9,16.9
1958,10,10.4
1958,11,4.2
1958,12,0.0
1959,1,-5.4
1959,2,-1.9
1959,3,1.6
1959,4,8.4
1959,5,12.9
1959,6,15.7
1959,7,20.1
1959,8,21.3
1959,9,17.2
1959,10,11.3
1959,11,3.4
1959,12,-2.4
1960,1,-6.2
1960,2,-3.2
1960,3,-0.4
1960,4,5.2
1960,5,11.0
1960,6,15.3
1960,7,20.0
1960,8,23.0
1960,9,18.0
1960,10,10.2
1960,11,4.6
1960,12,-3.0
1961,1,-6.2
1961,2,-4.0
1961,3,0.0
1961,4,7.4
1961,5,12.5
1961,6,17.5
1961,7,21.6
1961,8,21.7
1961,9,19.3
1961,10,10.9
1961,11,4.2
1961,12,-1.2
1962,1,-3.6
1962,2,-3.9
1962,3,-0.9
1962,4,8.4
1962,5,12.7
1962,6,16.1
1962,7,20.1
1962,8,20.6
1962,9,17.7
1962,10,9.7
1962,11,3.6
1962,12,-0.9
1963,1,-4.7
1963,2,-2.9
1963,3,1.1
1963,4,6.6
1963,5,12.9
1963,6,15.6
1963,7,20.3
1963,8,21.5
1963,9,16.0
1963,10,10.6
1963,11,5.4
1963,12,0.1
1964,1,-3.8
1964,2,-6.1
1964,3,0.2
1964,4,6.2
1964,5,12.7
1964,6,15.8
1964,7,18.7
1964,8,21.5
1964,9,15.7
1964,10,9.4
1964,11,3.9
1964,12,-1.7
1965,1,-2.8
1965,2,-4.3
1965,3,-1.2
1965,4,4.6
1965,5,11.8
1965,6,16.1
1965,7,18.6
1965,8,22.1
1965,9,17.2
1965,10,10.5
1965,11,3.7
1965,12,-2.0
1966,1,-4.7
1966,2,-3.9
1966,3,0.8
1966,4,5.4
1966,5,12.2
1966,6,15.7
1966,7,18.5
1966,8,22.0
1966,9,15.8
1966,10,12.3
1966,11,4.9
1966,12,-4.2
1967,1,-6.3
1967,2,-4.4
1967,3,0.6
1967,4,6.5
1967,5,13.6
1967,6,15.7
1967,7,20.9
1967,8,22.1
1967,9,16.3
1967,10,10.4
1967,11,2.7
1967,12,-2.1
1968,1,-3.4
1968,2,-4.8
1968,3,1.8
1968,4,7.1
1968,5,11.6
1968,6,16.7
1968,7,20.6
1968,8,20.8
1968,9,17.1
1968,10,8.7
1968,11,6.2
1968,12,0.6
1969,1,-5.5
1969,2,-5.3
1969,3,-1.4
1969,4,6.0
1969,5,11.0
1969,6,15.0
1969,7,20.6
1969,8,19.6
1969,9,16.4
1969,10,9.8
1969,11,3.8
